o,d,count
12号线天潼路,12号线国际客运中心,132
12号线天潼路,12号线曲阜路,203
12号线宁国路,12号线江浦公园,407
12号线宁国路,12号线隆昌路,97
12号线巨峰路,12号线东陆路,184
12号线巨峰路,12号线杨高北路,49
12号线巨峰路,6号线巨峰路,34
12号线提篮桥,12号线国际客运中心,276
12号线提篮桥,12号线大连路,82
12号线曲阜路,12号线天潼路,161
12号线曲阜路,12号线汉中路,222
12号线曲阜路,8号线曲阜路,84
12号线杨高北路,12号线巨峰路,74
12号线杨高北路,12号线金京路,51
12号线汉中路,12号线南京西路,521
12号线汉中路,12号线曲阜路,150
12号线汉中路,13号线汉中路,7
12号线汉中路,1号线汉中路,140
12号线江浦公园,12号线大连路,466
12号线江浦公园,12号线宁国路,134
12号线漕宝路,12号线龙漕路,35
12号线漕宝路,1号线漕宝路,27
12号线爱国路,12号线复兴岛,64
12号线爱国路,12号线隆昌路,296
12号线申江路,12号线金京路,20
12号线申江路,12号线金海路,67
12号线金京路,12号线杨高北路,40
12号线金京路,12号线申江路,62
12号线金海路,12号线申江路,17
12号线金海路,9号线金海路,40
12号线陕西南路,10号线陕西南路,81
12号线陕西南路,12号线南京西路,256
12号线陕西南路,12号线嘉善路,272
12号线陕西南路,1号线陕西南路,23
12号线隆昌路,12号线宁国路,353
12号线隆昌路,12号线爱国路,65
12号线龙华,11号线龙华,26
12号线龙华,12号线龙华中路,132
12号线龙华,12号线龙漕路,53
12号线龙华中路,12号线大木桥路,102
12号线龙华中路,12号线龙华,47
12号线龙华中路,7号线龙华中路,60
12号线龙漕路,12号线漕宝路,27
12号线龙漕路,12号线龙华,95
12号线龙漕路,3号线龙漕路,27
13号线世博会博物馆,13号线世博大道,2
13号线世博会博物馆,13号线马当路,35
13号线世博大道,13号线世博会博物馆,35
13号线世博大道,13号线长清路,2
13号线东明路,13号线成山路,66
13号线东明路,6号线东明路,30
13号线丰庄,13号线祁连山南路,260
13号线丰庄,13号线金沙江西路,47
13号线南京西路,12号线南京西路,2
13号线南京西路,13号线淮海中路,6
13号线南京西路,13号线自然博物馆,2
13号线南京西路,2号线南京西路,21
13号线大渡河路,13号线真北路,194
13号线大渡河路,13号线金沙江路,390
13号线成山路,13号线东明路,30
13号线成山路,13号线长清路,47
13号线成山路,8号线成山路,19
13号线新天地,10号线新天地,23
13号线新天地,13号线淮海中路,21
13号线新天地,13号线马当路,15
13号线武宁路,13号线长寿路,79
13号线武宁路,13号线隆德路,26
13号线汉中路,12号线汉中路,10
13号线汉中路,13号线江宁路,13
13号线汉中路,13号线自然博物馆,2
13号线汉中路,1号线汉中路,23
13号线江宁路,13号线汉中路,35
13号线江宁路,13号线长寿路,13
13号线淮海中路,13号线南京西路,21
13号线淮海中路,13号线新天地,6
13号线真北路,13号线大渡河路,366
13号线真北路,13号线祁连山南路,88
13号线祁连山南路,13号线丰庄,62
13号线祁连山南路,13号线真北路,351
13号线自然博物馆,13号线南京西路,2
13号线自然博物馆,13号线汉中路,2
13号线金沙江西路,13号线丰庄,192
13号线金沙江西路,13号线金运路,30
13号线金沙江路,13号线大渡河路,260
13号线金沙江路,13号线隆德路,230
13号线金沙江路,3号线金沙江路,140
13号线金沙江路,4号线金沙江路,50
13号线金运路,13号线金沙江西路,168
13号线长寿路,13号线武宁路,45
13号线长寿路,13号线江宁路,35
13号线长寿路,7号线长寿路,63
13号线长清路,13号线世博大道,35
13号线长清路,13号线成山路,9
13号线长清路,7号线长清路,21
13号线隆德路,11号线隆德路,154
13号线隆德路,13号线武宁路,102
13号线隆德路,13号线金沙江路,121
13号线马当路,13号线世博会博物馆,2
13号线马当路,13号线新天地,44
13号线马当路,9号线马当路,21
16号线临港大道,16号线书院,10
16号线临港大道,16号线滴水湖,10
16号线书院,16号线临港大道,15
16号线书院,16号线惠南东,16
16号线华夏中路,16号线罗山路,65
16号线华夏中路,16号线龙阳路,211
16号线周浦东,16号线罗山路,187
16号线周浦东,16号线鹤沙航城,62
16号线惠南,16号线惠南东,20
16号线惠南,16号线野生动物园,47
16号线惠南东,16号线书院,18
16号线惠南东,16号线惠南,18
16号线新场,16号线航头东,90
16号线新场,16号线野生动物园,47
16号线滴水湖,16号线临港大道,3
16号线罗山路,11号线罗山路,51
16号线罗山路,16号线华夏中路,214
16号线罗山路,16号线周浦东,74
16号线航头东,16号线新场,59
16号线航头东,16号线鹤沙航城,100
16号线野生动物园,16号线惠南,40
16号线野生动物园,16号线新场,59
16号线鹤沙航城,16号线周浦东,144
16号线鹤沙航城,16号线航头东,59
16号线龙阳路,16号线华夏中路,65
16号线龙阳路,2号线龙阳路,195
16号线龙阳路,7号线龙阳路,10
1号线上海体育馆,1号线徐家汇,1478
1号线上海体育馆,1号线漕宝路,399
1号线上海体育馆,4号线上海体育馆,273
1号线上海南站,1号线漕宝路,1657
1号线上海南站,1号线锦江乐园,289
1号线上海南站,3号线上海南站,54
1号线上海火车站,1号线中山北路,351
1号线上海火车站,1号线汉中路,1226
1号线上海火车站,3号线上海火车站,34
1号线上海火车站,4号线上海火车站,50
1号线上海马戏城,1号线延长路,1160
1号线上海马戏城,1号线汶水路,234
1号线中山北路,1号线上海火车站,1328
1号线中山北路,1号线延长路,353
1号线人民广场,1号线新闸路,408
1号线人民广场,1号线黄陂南路,740
1号线人民广场,2号线人民广场,374
1号线人民广场,8号线人民广场,441
1号线共富新村,1号线呼兰路,411
1号线共富新村,1号线宝安公路,50
1号线共康路,1号线彭浦新村,872
1号线共康路,1号线通河新村,102
1号线友谊西路,1号线宝安公路,114
1号线友谊西路,1号线富锦路,27
1号线呼兰路,1号线共富新村,71
1号线呼兰路,1号线通河新村,464
1号线外环路,1号线莘庄,206
1号线外环路,1号线莲花路,935
1号线宝安公路,1号线共富新村,232
1号线宝安公路,1号线友谊西路,40
1号线富锦路,1号线友谊西路,84
1号线常熟路,1号线衡山路,453
1号线常熟路,1号线陕西南路,977
1号线常熟路,7号线常熟路,200
1号线延长路,1号线上海马戏城,322
1号线延长路,1号线中山北路,1277
1号线彭浦新村,1号线共康路,127
1号线彭浦新村,1号线汶水路,1143
1号线徐家汇,11号线徐家汇,197
1号线徐家汇,1号线上海体育馆,424
1号线徐家汇,1号线衡山路,1133
1号线徐家汇,9号线徐家汇,181
1号线新闸路,1号线人民广场,831
1号线新闸路,1号线汉中路,362
1号线汉中路,12号线汉中路,339
1号线汉中路,13号线汉中路,4
1号线汉中路,1号线上海火车站,372
1号线汉中路,1号线新闸路,858
1号线汶水路,1号线上海马戏城,1143
1号线汶水路,1号线彭浦新村,142
1号线漕宝路,12号线漕宝路,35
1号线漕宝路,1号线上海体育馆,1691
1号线漕宝路,1号线上海南站,300
1号线莘庄,1号线外环路,793
1号线莘庄,5号线莘庄,131
1号线莲花路,1号线外环路,207
1号线莲花路,1号线锦江乐园,1282
1号线衡山路,1号线常熟路,1132
1号线衡山路,1号线徐家汇,436
1号线通河新村,1号线共康路,704
1号线通河新村,1号线呼兰路,97
1号线锦江乐园,1号线上海南站,1461
1号线锦江乐园,1号线莲花路,257
1号线陕西南路,10号线陕西南路,79
1号线陕西南路,12号线陕西南路,28
1号线陕西南路,1号线常熟路,446
1号线陕西南路,1号线黄陂南路,865
1号线黄陂南路,1号线人民广场,727
1号线黄陂南路,1号线陕西南路,568
2号线上海科技馆,2号线世纪公园,789
2号线上海科技馆,2号线世纪大道,1268
2号线世纪公园,2号线上海科技馆,1252
2号线世纪公园,2号线龙阳路,799
2号线世纪大道,2号线上海科技馆,832
2号线世纪大道,2号线东昌路,1447
2号线世纪大道,4号线世纪大道,349
2号线世纪大道,6号线世纪大道,124
2号线世纪大道,9号线世纪大道,187
2号线东昌路,2号线世纪大道,739
2号线东昌路,2号线陆家嘴,1421
2号线中山公园,2号线娄山关路,777
2号线中山公园,2号线江苏路,1000
2号线中山公园,3号线中山公园,175
2号线中山公园,4号线中山公园,22
2号线人民广场,1号线人民广场,386
2号线人民广场,2号线南京东路,1430
2号线人民广场,2号线南京西路,1022
2号线人民广场,8号线人民广场,232
2号线凌空路,2号线川沙,42
2号线凌空路,2号线远东大道,67
2号线创新中路,2号线华夏东路,77
2号线创新中路,2号线唐镇,241
2号线北新泾,2号线威宁路,753
2号线北新泾,2号线淞虹路,543
2号线华夏东路,2号线创新中路,228
2号线华夏东路,2号线川沙,76
2号线南京东路,10号线南京东路,280
2号线南京东路,2号线人民广场,1079
2号线南京东路,2号线陆家嘴,1333
2号线南京西路,12号线南京西路,63
2号线南京西路,13号线南京西路,6
2号线南京西路,2号线人民广场,1269
2号线南京西路,2号线静安寺,999
2号线唐镇,2号线创新中路,80
2号线唐镇,2号线广兰路,378
2号线威宁路,2号线北新泾,558
2号线威宁路,2号线娄山关路,836
2号线娄山关路,2号线中山公园,941
2号线娄山关路,2号线威宁路,586
2号线川沙,2号线凌空路,69
2号线川沙,2号线华夏东路,144
2号线广兰路,2号线唐镇,101
2号线广兰路,2号线金科路,656
2号线张江高科,2号线金科路,528
2号线张江高科,2号线龙阳路,710
2号线徐泾东,2号线虹桥火车站,237
2号线江苏路,11号线江苏路,183
2号线江苏路,2号线中山公园,726
2号线江苏路,2号线静安寺,1385
2号线浦东国际机场,2号线海天三路,20
2号线海天三路,2号线浦东国际机场,47
2号线海天三路,2号线远东大道,23
2号线淞虹路,2号线北新泾,569
2号线淞虹路,2号线虹桥2号航站楼,320
2号线虹桥2号航站楼,10号线虹桥2号航站楼,69
2号线虹桥2号航站楼,2号线淞虹路,309
2号线虹桥2号航站楼,2号线虹桥火车站,302
2号线虹桥火车站,2号线徐泾东,155
2号线虹桥火车站,2号线虹桥2号航站楼,307
2号线远东大道,2号线凌空路,25
2号线远东大道,2号线海天三路,63
2号线金科路,2号线广兰路,230
2号线金科路,2号线张江高科,707
2号线陆家嘴,2号线东昌路,831
2号线陆家嘴,2号线南京东路,1227
2号线静安寺,2号线南京西路,1488
2号线静安寺,2号线江苏路,736
2号线静安寺,7号线静安寺,251
