o,d,count
7号线长清路,13号线长清路,16
7号线长清路,7号线后滩,480
7号线长清路,7号线耀华路,158
7号线静安寺,2号线静安寺,433
7号线静安寺,7号线常熟路,588
7号线静安寺,7号线昌平路,393
7号线顾村公园,7号线刘行,35
7号线顾村公园,7号线祁华路,275
7号线高科西路,6号线高科西路,99
7号线高科西路,7号线云台路,317
7号线高科西路,7号线杨高南路,185
7号线龙华中路,12号线龙华中路,39
7号线龙华中路,7号线东安路,448
7号线龙华中路,7号线后滩,146
7号线龙阳路,16号线龙阳路,3
7号线龙阳路,2号线龙阳路,272
7号线龙阳路,7号线花木路,173
7号线龙阳路,7号线芳华路,52
8号线东方体育中心,11号线东方体育中心,267
8号线东方体育中心,6号线东方体育中心,12
8号线东方体育中心,8号线凌兆新村,169
8号线东方体育中心,8号线杨思,486
8号线中兴路,8号线曲阜路,894
8号线中兴路,8号线西藏北路,256
8号线中华艺术宫,8号线耀华路,122
8号线中华艺术宫,8号线西藏南路,815
8号线人民广场,1号线人民广场,342
8号线人民广场,2号线人民广场,348
8号线人民广场,8号线大世界,390
8号线人民广场,8号线曲阜路,320
8号线凌兆新村,8号线东方体育中心,599
8号线凌兆新村,8号线芦恒路,172
8号线四平路,10号线四平路,228
8号线四平路,8号线曲阳路,614
8号线四平路,8号线鞍山新村,148
8号线大世界,8号线人民广场,495
8号线大世界,8号线老西门,278
8号线嫩江路,8号线市光路,13
8号线嫩江路,8号线翔殷路,210
8号线市光路,8号线嫩江路,130
8号线延吉中路,8号线黄兴公园,62
8号线延吉中路,8号线黄兴路,446
8号线成山路,13号线成山路,21
8号线成山路,8号线杨思,135
8号线成山路,8号线耀华路,746
8号线曲阜路,12号线曲阜路,114
8号线曲阜路,8号线中兴路,282
8号线曲阜路,8号线人民广场,847
8号线曲阳路,8号线四平路,215
8号线曲阳路,8号线虹口足球场,704
8号线杨思,8号线东方体育中心,175
8号线杨思,8号线成山路,602
8号线江月路,8号线浦江镇,323
8号线江月路,8号线联航路,86
8号线江浦路,8号线鞍山新村,624
8号线江浦路,8号线黄兴路,92
8号线沈杜公路,8号线联航路,184
8号线浦江镇,8号线江月路,119
8号线浦江镇,8号线芦恒路,379
8号线翔殷路,8号线嫩江路,22
8号线翔殷路,8号线黄兴公园,265
8号线耀华路,7号线耀华路,143
8号线耀华路,8号线中华艺术宫,815
8号线耀华路,8号线成山路,115
8号线老西门,10号线老西门,204
8号线老西门,8号线大世界,616
8号线老西门,8号线陆家浜路,302
8号线联航路,8号线江月路,252
8号线联航路,8号线沈杜公路,57
8号线芦恒路,8号线凌兆新村,506
8号线芦恒路,8号线浦江镇,159
8号线虹口足球场,3号线虹口足球场,167
8号线虹口足球场,8号线曲阳路,212
8号线虹口足球场,8号线西藏北路,784
8号线西藏北路,8号线中兴路,831
8号线西藏北路,8号线虹口足球场,241
8号线西藏南路,4号线西藏南路,176
8号线西藏南路,8号线中华艺术宫,133
8号线西藏南路,8号线陆家浜路,821
8号线陆家浜路,8号线老西门,775
8号线陆家浜路,8号线西藏南路,224
8号线陆家浜路,9号线陆家浜路,220
8号线鞍山新村,8号线四平路,680
8号线鞍山新村,8号线江浦路,122
8号线黄兴公园,8号线延吉中路,314
8号线黄兴公园,8号线翔殷路,47
8号线黄兴路,8号线延吉中路,82
8号线黄兴路,8号线江浦路,578
9号线七宝,9号线中春路,179
9号线七宝,9号线星中路,1195
9号线世纪大道,2号线世纪大道,171
9号线世纪大道,4号线世纪大道,113
9号线世纪大道,6号线世纪大道,62
9号线世纪大道,9号线商城路,502
9号线世纪大道,9号线杨高中路,130
9号线中春路,9号线七宝,1038
9号线中春路,9号线九亭,171
9号线九亭,9号线中春路,991
9号线九亭,9号线泗泾,144
9号线佘山,9号线泗泾,471
9号线佘山,9号线洞泾,106
9号线台儿庄路,9号线蓝天路,40
9号线台儿庄路,9号线金桥,17
9号线合川路,9号线星中路,206
9号线合川路,9号线漕河泾开发区,1228
9号线商城路,9号线世纪大道,309
9号线商城路,9号线小南门,418
9号线嘉善路,12号线嘉善路,96
9号线嘉善路,9号线打浦桥,567
9号线嘉善路,9号线肇嘉浜路,511
9号线宜山路,3号线宜山路,153
9号线宜山路,4号线宜山路,57
9号线宜山路,9号线徐家汇,904
9号线宜山路,9号线桂林路,811
9号线小南门,9号线商城路,501
9号线小南门,9号线陆家浜路,451
9号线徐家汇,11号线徐家汇,154
9号线徐家汇,1号线徐家汇,178
9号线徐家汇,9号线宜山路,790
9号线徐家汇,9号线肇嘉浜路,824
9号线打浦桥,9号线嘉善路,373
9号线打浦桥,9号线马当路,421
9号线星中路,9号线七宝,189
9号线星中路,9号线合川路,1239
9号线杨高中路,9号线世纪大道,205
9号线杨高中路,9号线芳甸路,17
9号线松江体育中心,9号线松江新城,85
9号线松江体育中心,9号线醉白池,24
9号线松江南站,9号线醉白池,5
9号线松江大学城,9号线松江新城,51
9号线松江大学城,9号线洞泾,258
9号线松江新城,9号线松江体育中心,35
9号线松江新城,9号线松江大学城,123
9号线桂林路,9号线宜山路,1060
9号线桂林路,9号线漕河泾开发区,670
9号线泗泾,9号线九亭,649
9号线泗泾,9号线佘山,131
9号线洞泾,9号线佘山,298
9号线洞泾,9号线松江大学城,94
9号线漕河泾开发区,9号线合川路,295
9号线漕河泾开发区,9号线桂林路,1039
9号线肇嘉浜路,7号线肇嘉浜路,281
9号线肇嘉浜路,9号线嘉善路,690
9号线肇嘉浜路,9号线徐家汇,680
9号线芳甸路,9号线杨高中路,40
9号线芳甸路,9号线蓝天路,17
9号线蓝天路,9号线台儿庄路,17
9号线蓝天路,9号线芳甸路,40
9号线醉白池,9号线松江体育中心,30
9号线醉白池,9号线松江南站,14
9号线金吉路,9号线金桥,40
9号线金吉路,9号线金海路,17
9号线金桥,9号线台儿庄路,40
9号线金桥,9号线金吉路,17
9号线金海路,12号线金海路,17
9号线金海路,9号线金吉路,40
9号线陆家浜路,8号线陆家浜路,126
9号线陆家浜路,9号线小南门,506
9号线陆家浜路,9号线马当路,461
9号线马当路,13号线马当路,17
9号线马当路,9号线打浦桥,444
9号线马当路,9号线陆家浜路,422
